Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
Pep_568,0.506,0,0,0.506,Non-Toxin
Pep_569,0.741,0,0,0.741,Toxin
Pep_57,0.785,0,0,0.785,Toxin
Pep_570,0.722,0,0,0.722,Toxin
Pep_571,0.437,0,0,0.437,Non-Toxin
Pep_572,0.803,0,0,0.803,Toxin
Pep_573,0.613,0,0,0.613,Toxin
Pep_574,0.641,0,0,0.641,Toxin
Pep_575,0.734,0,0,0.734,Toxin
Pep_576,0.541,0,0,0.541,Non-Toxin
Pep_577,0.544,0,0,0.544,Non-Toxin
Pep_578,0.733,0,0,0.733,Toxin
Pep_579,0.695,0,0,0.695,Toxin
Pep_58,0.678,0,0,0.678,Toxin
Pep_580,0.617,0,0,0.617,Toxin
Pep_581,0.625,0,0,0.625,Toxin
Pep_582,0.675,0,0,0.675,Toxin
Pep_583,0.587,0,0,0.587,Non-Toxin
Pep_584,0.592,0,0,0.592,Non-Toxin
Pep_585,0.617,0,0,0.617,Toxin
Pep_586,0.598,0,0,0.598,Non-Toxin
Pep_587,0.563,0,0,0.563,Non-Toxin
Pep_588,0.744,0,0,0.744,Toxin
Pep_589,0.574,0,0,0.574,Non-Toxin
Pep_59,0.685,0,0,0.685,Toxin
Pep_590,0.516,0,0,0.516,Non-Toxin
Pep_591,0.631,0,0,0.631,Toxin
Pep_592,0.608,0,0,0.608,Toxin
Pep_593,0.623,0,0,0.623,Toxin
Pep_594,0.623,0,0,0.623,Toxin
Pep_595,0.71,0,0,0.71,Toxin
Pep_596,0.708,0,0,0.708,Toxin
Pep_597,0.814,0,0,0.814,Toxin
Pep_598,0.753,0,0,0.753,Toxin
Pep_599,0.62,0,0,0.62,Toxin
Pep_6,0.51,0,0,0.51,Non-Toxin
Pep_60,0.59,0,0,0.59,Non-Toxin
Pep_600,0.551,0,0,0.551,Non-Toxin
Pep_601,0.57,0,0,0.57,Non-Toxin
Pep_602,0.556,0,0,0.556,Non-Toxin
Pep_603,0.554,0,0,0.554,Non-Toxin
Pep_604,0.56,0,0,0.56,Non-Toxin
Pep_605,0.617,0,0,0.617,Toxin
Pep_606,0.61,0,0,0.61,Toxin
Pep_607,0.589,0,0,0.589,Non-Toxin
Pep_608,0.603,0,0,0.603,Toxin
