Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
pep746,0.512,0,0,0.512,Non-Toxin
pep747,0.535,0,0,0.535,Non-Toxin
pep748,0.521,0,0,0.521,Non-Toxin
pep749,0.576,0,0,0.576,Non-Toxin
pep75,0.632,0,0,0.632,Toxin
pep750,0.509,0,0,0.509,Non-Toxin
pep751,0.474,0,0,0.474,Non-Toxin
pep752,0.423,0,0,0.423,Non-Toxin
pep753,0.429,0,0,0.429,Non-Toxin
pep754,0.425,0,0,0.425,Non-Toxin
pep755,0.416,0,0,0.416,Non-Toxin
pep756,0.429,0,0,0.429,Non-Toxin
pep757,0.449,0,0,0.449,Non-Toxin
pep758,0.456,0,0,0.456,Non-Toxin
pep759,0.551,0,0,0.551,Non-Toxin
pep76,0.67,0,0,0.67,Toxin
pep760,0.563,0,0,0.563,Non-Toxin
pep761,0.709,0,0,0.709,Toxin
pep762,0.674,0,0,0.674,Toxin
pep763,0.659,0,0,0.659,Toxin
pep764,0.629,0,0,0.629,Toxin
pep765,0.61,0,0,0.61,Toxin
pep766,0.579,0,0,0.579,Non-Toxin
pep767,0.535,0,0,0.535,Non-Toxin
pep768,0.54,0,0,0.54,Non-Toxin
pep769,0.568,0,0,0.568,Non-Toxin
pep77,0.652,0,0,0.652,Toxin
pep770,0.594,0,0,0.594,Non-Toxin
pep771,0.595,0,0,0.595,Non-Toxin
pep772,0.799,0,0,0.799,Toxin
pep773,0.751,0,0,0.751,Toxin
pep774,0.742,0,0,0.742,Toxin
pep775,0.709,0,0,0.709,Toxin
pep776,0.722,0,0,0.722,Toxin
pep777,0.701,0,0,0.701,Toxin
pep778,0.745,0,0,0.745,Toxin
pep779,0.744,0,0,0.744,Toxin
pep78,0.708,0,0,0.708,Toxin
pep780,0.949,0,0,0.949,Toxin
pep781,0.944,0,0,0.944,Toxin
pep782,0.928,0,0,0.928,Toxin
pep783,0.918,0,0,0.918,Toxin
pep784,0.925,0,0,0.925,Toxin
pep785,0.587,0,0,0.587,Non-Toxin
pep786,0.572,0,0,0.572,Non-Toxin
pep787,0.528,0,0,0.528,Non-Toxin
pep788,0.534,0,0,0.534,Non-Toxin
pep789,0.492,0,0,0.492,Non-Toxin
pep79,0.649,0,0,0.649,Toxin
pep790,0.519,0,0,0.519,Non-Toxin
pep791,0.531,0,0,0.531,Non-Toxin
pep792,0.512,0,0,0.512,Non-Toxin
pep793,0.514,0,0,0.514,Non-Toxin
pep794,0.524,0,0,0.524,Non-Toxin
pep795,0.545,0,0,0.545,Non-Toxin
pep796,0.538,0,0,0.538,Non-Toxin
pep797,0.554,0,0,0.554,Non-Toxin
pep798,0.707,0,0,0.707,Toxin
pep799,0.673,0,0,0.673,Toxin
pep8,0.478,0,0,0.478,Non-Toxin
pep80,0.639,0,0,0.639,Toxin
pep800,0.655,0,0,0.655,Toxin
pep801,0.63,0,0,0.63,Toxin
pep802,0.607,0,0,0.607,Toxin
pep803,0.583,0,0,0.583,Non-Toxin
pep804,0.53,0,0,0.53,Non-Toxin
pep805,0.54,0,0,0.54,Non-Toxin
pep806,0.539,0,0,0.539,Non-Toxin
pep807,0.567,0,0,0.567,Non-Toxin
pep808,0.592,0,0,0.592,Non-Toxin
pep809,0.596,0,0,0.596,Non-Toxin
pep81,0.652,0,0,0.652,Toxin
pep810,0.699,0,0,0.699,Toxin
pep811,0.687,0,0,0.687,Toxin
pep812,0.672,0,0,0.672,Toxin
pep813,0.667,0,0,0.667,Toxin
pep814,0.684,0,0,0.684,Toxin
pep815,0.685,0,0,0.685,Toxin
pep816,0.638,0,0,0.638,Toxin
pep817,0.568,0,0,0.568,Non-Toxin
pep818,0.579,0,0,0.579,Non-Toxin
